選舉區,號次,姓名,性別,出生年月日,年齡,推薦之政黨,學歷,是否現任,英文姓名,出生地
宜蘭縣員山鄉,1,江永和,男,048/03/01,55,民主進步黨,專科,是,,臺灣省
宜蘭縣冬山鄉,1,陳炯瑉,男,055/09/21,48,中國國民黨,專科,否,,臺灣省
宜蘭縣冬山鄉,2,謝燦輝,男,047/02/18,56,民主進步黨,碩士,是,HSIEH TSAN HVT,臺灣省
宜蘭縣五結鄉,1,簡松樹,男,054/10/13,49,民主進步黨,碩士,是,CHIEN SUNG SHU,臺灣省
宜蘭縣五結鄉,2,林義剛,男,042/02/05,61,中國國民黨,大學,否,LIN I KAN,臺灣省
宜蘭縣三星鄉,1,黃錫墉,男,047/04/03,56,民主進步黨,高中,是,,臺灣省
宜蘭縣三星鄉,2,林永爍,男,040/01/16,63,中國國民黨,高中,否,,臺灣省
宜蘭縣大同鄉,1,陳成功,男,052/10/16,51,中國國民黨,專科,是,,臺灣省
宜蘭縣大同鄉,2,王大福,男,040/03/13,63,無,大學,否,,臺灣省
宜蘭縣南澳鄉,1,豊張述,男,053/12/20,49,無,大學,否,LI CHANG SHU,臺灣省
宜蘭縣南澳鄉,2,蔡世光,男,048/01/08,55,中國國民黨,大學,否,,臺灣省
宜蘭縣南澳鄉,3,薛秋花,女,055/09/20,48,無,專科,否,HSUEH CHIU HUA,臺灣省
宜蘭縣南澳鄉,4,林長輝,男,041/11/02,62,無,專科,否,LIN CHANG HUI,臺灣省
花蓮縣花蓮市,1,吳施鴻,男,050/04/03,53,中國國民黨,大學,否,Wu ShihHung,臺灣省
花蓮縣花蓮市,2,田智宣,男,049/04/06,54,民主進步黨,大學,是,TIEN CHIH HSUAN,臺灣省
花蓮縣鳳林鎮,1,彭宗乾,男,042/11/10,61,中國國民黨,專科,是,PENG CHUNG CHIEN,臺灣省
花蓮縣鳳林鎮,2,蕭文龍,男,041/04/15,62,無,其他,否,,臺灣省
花蓮縣玉里鎮,1,龔文俊,男,051/08/10,52,中國國民黨,高中,否,,臺灣省
花蓮縣玉里鎮,2,張堯舜,男,043/04/29,60,中國國民黨,大學,否,,臺灣省
花蓮縣新城鄉,1,游照春,男,049/05/18,54,無,專科,否,YOU JHAO CHUN,臺灣省
花蓮縣新城鄉,2,錢自立,男,039/11/25,64,中國國民黨,大學,是,CHIEN CHIH LI,臺南市
花蓮縣吉安鄉,1,黃宣寓,男,048/08/13,55,無,碩士,否,huang syuan yu,其他省市
花蓮縣吉安鄉,2,黃馨,女,043/09/01,60,中國國民黨,碩士,是,HUANG HSIN,其他省市
花蓮縣吉安鄉,3,邱展謙,男,053/02/20,50,無,博士,否,chiu chan chien,其他省市
花蓮縣壽豐鄉,1,曾淑懿,女,042/09/28,61,無,高中,否,,臺灣省
花蓮縣壽豐鄉,2,張懷文,女,042/05/29,61,中國國民黨,高中,是,Chang Huai Ven,臺灣省
花蓮縣光復鄉,1,楊智群,男,063/11/30,39,無,大學,否,YANG CHIH CHUN,臺灣省
花蓮縣光復鄉,2,李裕煌,男,056/10/15,47,中國國民黨,專科,否,,臺灣省
花蓮縣光復鄉,3,謝忠淵,男,035/07/31,68,中國國民黨,高中,是,HSIEH CHUNG YUAN,臺灣省
花蓮縣光復鄉,4,陳泰州,男,031/10/10,72,中國國民黨,其他,否,,臺灣省
花蓮縣光復鄉,5,吳明修,男,049/01/12,54,無,專科,否,,臺灣省
花蓮縣豐濱鄉,1,劉靜芳,女,042/02/12,61,中國國民黨,高中,是,LIU CHING FANG,臺灣省
花蓮縣瑞穗鄉,1,陳進光,男,050/08/15,53,中國國民黨,專科,否,,臺灣省
花蓮縣瑞穗鄉,2,魏清河,男,041/02/25,62,無,大學,否,,臺灣省
花蓮縣瑞穗鄉,3,陳銘文,男,045/05/09,58,無,高中,否,,新北市
花蓮縣瑞穗鄉,4,許德志,男,066/03/21,37,無,專科,否,HSO TE CHIH,臺灣省
花蓮縣富里鄉,1,陳彰勁,男,055/04/21,48,無,專科,否,CHIN CHANG CHIN,臺灣省
花蓮縣富里鄉,2,黃玲蘭,女,052/06/24,51,中國國民黨,高中,是,HUANG LING LAN,臺灣省
花蓮縣秀林鄉,1,張文成 Bucyang Ubus,男,040/06/10,63,無,碩士,否,Chang Wen Cheng,臺灣省
花蓮縣秀林鄉,2,李春風,女,042/07/03,61,無,高中,否,,臺灣省
花蓮縣秀林鄉,3,黃輝寶,男,039/10/10,64,中國國民黨,高中,否,,臺灣省
花蓮縣萬榮鄉,1,"徐金生 Kosang‧Ecin",男,043/11/25,60,無,高中,否,HSU CHIN SHENG,臺灣省
花蓮縣萬榮鄉,2,"蘇連進 Siqay‧Teymu",男,042/06/29,61,中國國民黨,專科,是,,臺灣省
花蓮縣卓溪鄉,1,金淑敏,女,053/02/07,50,無,大學,否,CHIN SHU MIN,臺灣省
花蓮縣卓溪鄉,2,"呂必賢 Biung．Istasipal",男,041/01/02,62,中國國民黨,大學,否,Lu Pi hsien,臺灣省
臺東縣臺東市,1,賴坤成,男,053/06/03,50,民主進步黨,大學,否,LAI KUN CHENG,臺灣省
臺東縣臺東市,2,張國洲,男,046/07/26,57,中國國民黨,高中,否,CHANG KUO CHOU,臺灣省
臺東縣成功鎮,1,陳秋豆,女,046/11/04,57,中國國民黨,其他,否,,臺灣省
臺東縣成功鎮,2,黃博昌,男,050/08/28,53,中國國民黨,高中,否,,臺灣省
臺東縣成功鎮,3,郭勝文,男,047/04/17,56,無,高中,否,,臺南市
臺東縣成功鎮,4,李應松,男,045/07/10,58,無,其他,否,,臺灣省
